Week Number,ISO Year,Date,Week Code
31,1923,1923-07-30,1923W31
32,1923,1923-08-06,1923W32
33,1923,1923-08-13,1923W33
34,1923,1923-08-20,1923W34
35,1923,1923-08-27,1923W35
36,1923,1923-09-03,1923W36
37,1923,1923-09-10,1923W37
38,1923,1923-09-17,1923W38
39,1923,1923-09-24,1923W39
40,1923,1923-10-01,1923W40
41,1923,1923-10-08,1923W41
42,1923,1923-10-15,1923W42
43,1923,1923-10-22,1923W43
44,1923,1923-10-29,1923W44
45,1923,1923-11-05,1923W45
46,1923,1923-11-12,1923W46
47,1923,1923-11-19,1923W47
48,1923,1923-11-26,1923W48
49,1923,1923-12-03,1923W49
50,1923,1923-12-10,1923W50
51,1923,1923-12-17,1923W51
52,1923,1923-12-24,1923W52
1,1924,1923-12-31,1924W01
2,1924,1924-01-07,1924W02
3,1924,1924-01-14,1924W03
4,1924,1924-01-21,1924W04
5,1924,1924-01-28,1924W05
6,1924,1924-02-04,1924W06
7,1924,1924-02-11,1924W07
8,1924,1924-02-18,1924W08
9,1924,1924-02-25,1924W09
10,1924,1924-03-03,1924W10
11,1924,1924-03-10,1924W11
12,1924,1924-03-17,1924W12
13,1924,1924-03-24,1924W13
14,1924,1924-03-31,1924W14
15,1924,1924-04-07,1924W15
16,1924,1924-04-14,1924W16
17,1924,1924-04-21,1924W17
18,1924,1924-04-28,1924W18
19,1924,1924-05-05,1924W19
20,1924,1924-05-12,1924W20
21,1924,1924-05-19,1924W21
22,1924,1924-05-26,1924W22
23,1924,1924-06-02,1924W23
24,1924,1924-06-09,1924W24
25,1924,1924-06-16,1924W25
26,1924,1924-06-23,1924W26
27,1924,1924-06-30,1924W27
28,1924,1924-07-07,1924W28
29,1924,1924-07-14,1924W29
30,1924,1924-07-21,1924W30
31,1924,1924-07-28,1924W31
32,1924,1924-08-04,1924W32
33,1924,1924-08-11,1924W33
34,1924,1924-08-18,1924W34
35,1924,1924-08-25,1924W35
36,1924,1924-09-01,1924W36
37,1924,1924-09-08,1924W37
38,1924,1924-09-15,1924W38
39,1924,1924-09-22,1924W39
40,1924,1924-09-29,1924W40
41,1924,1924-10-06,1924W41
42,1924,1924-10-13,1924W42
43,1924,1924-10-20,1924W43
44,1924,1924-10-27,1924W44
45,1924,1924-11-03,1924W45
46,1924,1924-11-10,1924W46
47,1924,1924-11-17,1924W47
48,1924,1924-11-24,1924W48
49,1924,1924-12-01,1924W49
50,1924,1924-12-08,1924W50
51,1924,1924-12-15,1924W51
52,1924,1924-12-22,1924W52
1,1925,1924-12-29,1925W01
2,1925,1925-01-05,1925W02
3,1925,1925-01-12,1925W03
4,1925,1925-01-19,1925W04
5,1925,1925-01-26,1925W05
6,1925,1925-02-02,1925W06
7,1925,1925-02-09,1925W07
8,1925,1925-02-16,1925W08
9,1925,1925-02-23,1925W09
10,1925,1925-03-02,1925W10
11,1925,1925-03-09,1925W11
12,1925,1925-03-16,1925W12
13,1925,1925-03-23,1925W13
14,1925,1925-03-30,1925W14
15,1925,1925-04-06,1925W15
16,1925,1925-04-13,1925W16
17,1925,1925-04-20,1925W17
18,1925,1925-04-27,1925W18
19,1925,1925-05-04,1925W19
20,1925,1925-05-11,1925W20
21,1925,1925-05-18,1925W21
22,1925,1925-05-25,1925W22
23,1925,1925-06-01,1925W23
24,1925,1925-06-08,1925W24
25,1925,1925-06-15,1925W25
26,1925,1925-06-22,1925W26
27,1925,1925-06-29,1925W27
28,1925,1925-07-06,1925W28
29,1925,1925-07-13,1925W29
30,1925,1925-07-20,1925W30
31,1925,1925-07-27,1925W31
32,1925,1925-08-03,1925W32
33,1925,1925-08-10,1925W33
34,1925,1925-08-17,1925W34
35,1925,1925-08-24,1925W35
36,1925,1925-08-31,1925W36
37,1925,1925-09-07,1925W37
38,1925,1925-09-14,1925W38
39,1925,1925-09-21,1925W39
40,1925,1925-09-28,1925W40
41,1925,1925-10-05,1925W41
42,1925,1925-10-12,1925W42
43,1925,1925-10-19,1925W43
44,1925,1925-10-26,1925W44
45,1925,1925-11-02,1925W45
46,1925,1925-11-09,1925W46
47,1925,1925-11-16,1925W47
48,1925,1925-11-23,1925W48
49,1925,1925-11-30,1925W49
50,1925,1925-12-07,1925W50
51,1925,1925-12-14,1925W51
52,1925,1925-12-21,1925W52
53,1925,1925-12-28,1925W53
1,1926,1926-01-04,1926W01
2,1926,1926-01-11,1926W02
3,1926,1926-01-18,1926W03
4,1926,1926-01-25,1926W04
5,1926,1926-02-01,1926W05
6,1926,1926-02-08,1926W06
7,1926,1926-02-15,1926W07
8,1926,1926-02-22,1926W08
9,1926,1926-03-01,1926W09
10,1926,1926-03-08,1926W10
11,1926,1926-03-15,1926W11
12,1926,1926-03-22,1926W12
13,1926,1926-03-29,1926W13
14,1926,1926-04-05,1926W14
15,1926,1926-04-12,1926W15
16,1926,1926-04-19,1926W16
17,1926,1926-04-26,1926W17
18,1926,1926-05-03,1926W18
19,1926,1926-05-10,1926W19
20,1926,1926-05-17,1926W20
21,1926,1926-05-24,1926W21
22,1926,1926-05-31,1926W22
23,1926,1926-06-07,1926W23
24,1926,1926-06-14,1926W24
25,1926,1926-06-21,1926W25
26,1926,1926-06-28,1926W26
27,1926,1926-07-05,1926W27
28,1926,1926-07-12,1926W28
29,1926,1926-07-19,1926W29
30,1926,1926-07-26,1926W30
31,1926,1926-08-02,1926W31
